;job_title;job_type;location;median_salary
0;it support technician;Full Time;Madison, WI 53702;43200.0
1;business reportereditor;Full Time;Madison, WI 53708;43200.0
7;mailroom clerk;Full Time;Austin, TX 73301;71040.0
8;housekeeper;Part Time;Austin, TX 78746;71040.0
10;aflac;Full Time;Berryville, VA 22611;115200.0
13;primrose private preschool teacher;Full Time;Houston, TX 77098;21120.0
15;engineer ii  outside plant engineer;Full Time;Des Moines, IA 50317;37440.0
19;technician  robot  multiaxis cnc field service;Full Time;Carter Lake, IA 51510;126720.0
21;real estate underwriter jr;Full Time;Houston, TX 77027;71040.0
23;estimator  construction;Full Time;Denver, CO 80215;74880.0
25;biomedical engineering director;Full Time;San Carlos, CA 94070;52000.0
27;traveling customer training professional;Full Time;Houston, TX 77040;71040.0
30;mechanical engineer  feamechanical modelingproduct development;Full Time;Mounds View, MN 55112;137280.0
32;machine control systems engineer  bsee;Full Time;Aurora, IL 60502;168000.0
33;equipment operator;Full Time;Denver, CO 80202;74880.0
34;associate product developer;Full Time;Saint Louis, MO 63116;72000.0
37;quality engineer;Full Time;Monroeville, PA 15146;72000.0
39;software engineer  display solutions group;Full Time;Tulsa, OK 74146;62400.0
40;management apprenticeship program;Full Time;Houston, TX 77040;71040.0
42;office administrator;Full Time;Denver, CO 80237;32000.0
43;surveyor  trimble field link construction;Full Time;Houston, TX 77001;29760.0
44;combat engineer  construction and engineering specialist;nan;Bradford, Vt 05033;
46;project engineer co;Full Time;Aurora, CO 80011;74880.0
47;project manager;Full Time;Houston, TX 77034;71040.0
48;accounts receivable  commercial real estate;Full Time;Denver, CO 80202;74880.0
49;technical writer;Full Time;Franklin Lakes, NJ 07417;79200.0
50;commissioning editor;Full Time;New York, NY 10013;76800.0
51;water and wastewater design engineer;Full Time;Skippack, PA 19474;72000.0
52;elementary english language acquisition  spanish teacher;Full Time;Denver, CO 80203;74880.0
54;retail merchandise apprenticeship full time;Full Time;Houston, TX 77040;71040.0
55;project engineer;Full Time;Dayton, OH 45414;73920.0
57;specialist;Full Time;Houston, TX 77001;71040.0
58;sales consultant;Full Time;Livermore, CA 94551;52000.0
60;journal development manager;Full Time;New York, NY 10013;76800.0
63;tax specialist;Full Time;Houston, TX 77040;71040.0
64;commercial lines account manager;Full Time;Ocean, NJ 07712;86400.0
67;sports;Full Time;Stuart, FL 34994;58560.0
68;localdelivery truck driver;Full Time;Denver, CO 80216;27840.0
70;hotel construction superintendent;Full Time;Houston, TX 77072;71040.0
71;senior applications engineer;Full Time;Tucson, AZ 85701;42240.0
74;project manager;Full Time;Dayton, OH 45414;73920.0
75;director of advancement;Full Time;Canton, OH 44718;73920.0
76;scheduler  editing quality control associate  sentry marketing group;Full Time;Plano, TX 75023;71040.0
77;proposal technical writer;Full Time;Arlington, VA 22209;115200.0
78;engineer ii;Full Time;Des Moines, IA 50309;37440.0
79;commercial construction superintendent;Full Time;Denver, CO 80002;74880.0
80;mechanical engineer  mechanicalbuildingfacility;Full Time;New York, NY 10016;86400.0
83;designer;Full Time;Bethlehem, PA 18017;76800.0
84;ups otr team cdltractortrailer truckload driver hazmat req;nan;Aurora, CO 80011;74880.0
86;validation engineer;Full Time;Andover, MA 01810;100800.0
87;journal production editor;Full Time;Philadelphia, PA 19106;72000.0
90;administrative assistant;Full Time;Minneapolis, MN 55423;72000.0
92;project estimator  roofing  sheet metal;Full Time;Houston, TX 77040;71040.0
